"unitid","cityid","avgbaserate","dogs","maxoccupancyadults","fullbaths","terminated","bedrooms","beachaccess","hottub"
6365,206,140,,,2,1,2,"The Sierra Nevada Mountain Range offers some of the most spectacular scenery in the world and Mammoth Lakes is right in the heart of it all.   There are many lakes, streams, waterfalls and hot springs a short drive or hike away.",2
6993,406,197,1,,2,1,3,,-1
7399,84,151,,,2,1,4,,-1
7600,32,237,,,3,1,4,,1
7634,118,302,,4,2,0,2,"It is walking distance to Pleasure Point Park. Here are details about this park:  ""Climb down the stairs from the park to the beach below, what little there is of it, and don’t expect much beach-wise. Except at low tide, this spot below the bluff will be all wet, but there is a rock shelf to sit on. The surfers don’t mind the lack of sandy beach and will be going out from this spot to a nice break just offshore. Those not surfing can just rest here and watch the surfers from the rocks or from benches and picnic tables in Pleasure Point Park. Officially this double-point sticking out into Monterey Bay is called Soquel Point. The park is located at the intersection of East Cliff Drive a and Pleasure Point Drive near 30th Avenue. Street parking can be found on Pleasure Point Drive, but watch for permit-only parking areas on the weekends.""",1
8033,84,140,,,2,1,3,,-1
8478,206,239,,,2,1,2,,1
8803,172,464,,8,3,1,4,,1
9284,32,185,1,,2,1,3,Donner lake is two blocks away!,1
9484,32,169,1,,1,0,3,,-1
10167,84,142,,8,2,1,3,,-1
10443,32,231,,,2,1,4,,1
10952,46,207,,,2,0,3,,-1
12315,2983,341,,,4,0,6,,-1
12363,2983,202,,,2,1,4,,-1
13358,366,297,,,3,1,3,,-1
13894,32,178,,,2,0,3,,2
16012,1059,385,,8,4,1,4,,-1
16897,127,250,,,2,1,4,,1
16993,90,350,,,3,0,3,,-1
17326,46,187,,,2,0,3,,-1
18340,545,531,,,3,0,4,"There are three beaches: The Marina, Lake Lodge and Dunn Court. You can swim inside the designated areas only. On private lakefront property, swimming is confined to within thirty feet (30) of the shoreline or private dock.
Parking in the Marina beach parking lot is not permitted on Friday, Saturday or Sunday, and is reserved for homeowners. The beach can be accessed via water taxi, and please call Pine Mountain Lake with any questions:(209) 962-8615.",-1
18435,566,155,,,1,1,1,,2
18770,3219,157,,,2,1,3,,-1
18772,3221,157,1,,2,1,3,,-1
18782,3219,162,,,2,0,2,,-1
18793,3219,152,,,1,0,2,,-1
18807,3219,274,1,,2,0,3,,-1
19156,84,197,,,2,0,2,,-1
20679,165,336,,,1,0,3,,1
21217,545,319,,,3,0,3,,-1
21686,32,233,1,,2,0,3,,2
6950,63,260,1,,2,0,3,,-1
8664,63,157,,,2,0,3,,-1
12840,63,186,,,1,0,3,,-1
588,32,188,,0,2,0,2,"Seasonal free shuttle connects complex with the Village at Northstar (ski base area, shopping, dining, movie theater) and also with golf, other communities in Northstar, and public transportation.",2
892,105,229,1,0,2,0,4,"Drive down to North Lake Blvd, turn left, then turn right on Speedboat.  Park near the bottom of Speedboat and access the public beach access at the bottom of Speedboat.",1
918,41,205,,,1,0,1,"",2
1333,129,150,1,,1,0,2,"0",1
2527,84,183,,,2,0,3,There are public beaches throughout South Lake Tahoe.,-1
2806,32,202,,,2,0,4,,-1
3778,164,130,,,1,0,2,"Pine Knot Marina is 1.3 miles  (approx. 5 minute drive) from house. Pine Knot Marina offers The Miss Liberty Paddle Wheel Boat tour of the lake and Rentals: Pontoon Boats, Kayaks, Fishing Boats, Fishing rods, bait shop, Stand-up Paddle Boards and Jet skis.
Bear Mountain Resort is 4.8 mile (approx 12 minute drive) from the house & Snow Summit Ski Resort is 3.1 miles (approx 9 minute drive) from the house. 
",1
3959,41,431,,8,3,0,4,N/A,-1
4222,164,214,,,2,0,3,"Pine Knot Marina is 4.6 miles  (approx. 12 minute drive) from house. Pine Knot Marina offers The Miss Liberty Paddle Wheel Boat tour of the lake and Rentals: Pontoon Boats, Kayaks, Fishing Boats, Fishing rods, bait shop, Stand-up Paddle Boards and Jet skis.
Bear Mountain Resort is 1.5 mile (approx 6 minute drive) from the house & Snow Summit Ski Resort is 3.3 miles (approx 11 minute drive) from the house. 
",-1
4522,464,128,1,,2,0,2,,1
4547,206,119,,,1,0,1,,2
4780,32,275,,0,2,0,3,"The Tahoe Donner Trout Creek Recreation Center is a five-minute walk from the home. Guests also have the option to use the Tahoe Donner Marina facility at Donner Lake, just 10 minutes away.",2
5691,464,151,1,0,2,0,3,,-1
5842,566,123,,2,1,1,0,"",-1
6327,84,0,,,1,0,2,,-1
6703,84,298,,6,2,1,3,,2
7239,32,189,,0,2,0,3,,1
7390,32,0,,,4,0,4,,-1
8036,32,252,,,4,0,4,Donner Lake is a 5 minute drive.,2
8575,206,155,,,2,0,1,,2
8576,206,173,,,3,1,2,,2
8675,566,206,,6,2,1,2,,1
8900,545,163,,6,2,0,3,"There are three beaches: The Marina, Lake Lodge and Dunn Court. You can swim inside the designated areas only. On private lakefront property, swimming is confined to within thirty feet (30) of the shoreline or private dock.
Parking in the Marina beach parking lot is not permitted on Friday, Saturday or Sunday, and is reserved for homeowners. The beach can be accessed via water taxi, and please call Pine Mountain Lake with any questions:(209) 962-8615.
",-1
9452,164,251,1,,2,0,3,,-1
9569,32,172,,,1,0,1,,2
9874,165,191,,0,2,1,2,,-1
9875,165,136,,,1,1,2,,-1
10285,32,230,1,,2,0,3,,2
11217,164,123,1,6,2,0,2,,-1
11791,164,157,,,2,0,3,,-1
11934,194,102,,,1,0,2,"Pine Knot Marina ,Pine Knot Marina offers The Miss Liberty Paddle Wheel Boat tour of the lake and Rentals: Pontoon Boats, Kayaks, Fishing Boats, Fishing rods, bait shop, Stand-up Paddle Boards and Jet skis.
Bear Mountain Resort  AND  Snow Summit Ski Resort .",-1
12093,32,247,1,,2,0,2,"Seasonal free shuttle connects the complex with the Village at Northstar (ski base area, shopping, dining, and movie theater) and also with golf, other communities in Northstar, and public transportation.",2
12290,2996,199,,,3,0,4,,-1
12323,2983,295,1,,2,1,3,,-1
12598,164,110,,,2,0,2,,-1
13512,545,185,,,2,0,3,"There are three beaches: The Marina, Lake Lodge and Dunn Court. You can swim inside the designated areas only. On private lakefront property, swimming is confined to within thirty feet (30) of the shoreline or private dock.
Parking in the Marina beach parking lot is not permitted on Friday, Saturday or Sunday, and is reserved for homeowners. The beach can be accessed via water taxi, and please call Pine Mountain Lake with any questions:(209) 962-8615.
",-1
14508,32,202,,,3,0,3,,1
14673,545,206,,,2,0,4,"Access the beach at Cassaretto Court (marina) on foot after parking along Pine Mountain Drive. Parking at the marina is not authorized for visitors, but the walk to the marina is short from Pine Mountain Drive. Parking at Dunn Court Beach, or at the ""Lake Lodge"" beach area, is permitted.  Parking at Fisherman's Cove is also permitted.  Please display your orange parking pass when parking at beach or fishing locations.",-1
15602,3122,306,,8,2,0,4,,-1
16114,32,159,,,2,0,2,,2
16455,281,207,1,,2,0,3,,-1
16762,165,115,,4,1,1,1,,-1
17352,32,252,,,2,0,3,,1
17551,127,167,,,2,0,2,,2
17571,545,169,,8,2,0,3,"The property overlooks a seasonal creek, with views down to the lake. The border of the property and the creek is unfenced.",-1
17616,2983,178,,,2,0,3,,-1
17718,127,130,1,,1,0,1,,2
17915,32,117,,,1,0,0,,2
17931,32,280,,,2,0,3,,2
17990,234,121,1,,2,0,2,,-1
18503,368,210,1,,1,0,2,,-1
18765,32,327,,,3,0,4,,2
18767,3218,279,,,2,0,2,,-1
18778,3218,213,,,2,1,3,,-1
19839,351,151,,,2,0,3,,-1
20069,464,112,1,0,1,0,1,,
20340,164,137,,,2,0,3,,
20727,590,187,,,1,0,2,,-1
21202,2983,204,,,2,0,3,,-1
21230,545,171,,,2,0,2,,-1
21231,545,137,,,2,0,3,,-1
21233,545,143,1,,2,0,3,,-1
21364,164,123,,,2,0,3,,-1
22182,42,371,,,4,0,4,,2
22211,545,177,,,2,0,3,,-1
22845,32,218,,6,2,0,3,,1
24279,41,215,,,2,0,2,"Lake Tahoe is 15 minutes away! Also, the Truckee river is only about a 5-10 minute drive away.",2
24650,32,261,,,3,0,4,,-1
25494,234,0,,,2,0,2,,2
24947,1063,0,,,2,0,2,,-1
12712,351,164,,,2,0,3,,2
15371,194,102,,,1,0,2,,-1
17918,127,129,,,1,0,1,,2
18006,194,123,1,,2,0,3,,-1
18552,194,105,1,4,2,0,2,,-1
19267,836,214,1,,2,0,3,,1
25440,206,0,,,2,0,2,There is no beach/water access from this unit,2
7371,223,121,1,,1,0,2,,-1
8650,223,166,1,,2,0,3,,1
11732,223,114,,3,2,0,2,,-1
12316,2983,341,,,4,0,6,,-1
20216,590,0,1,,2,0,3,,
23322,194,0,0,,4,0,5,,-1
24134,194,0,,,2,0,4,,-1
25051,194,0,1,,2,0,3,,-1
25418,164,0,1,,1,0,2,,-1
2089,165,309,,,2,1,3,Beach is about a 1/2 a block away,-1
2093,165,229,,,1,0,2,The beach is located 1/2 block away.,-1
2183,164,286,,,3,0,3,"PLEASE NOTE: IF WATER LEVEL IS LOW, DOCK WILL BE ON DRY LAND. IF YOUR BOOKING HOME FOR DOCK AND/OR LAKEFRONT, PLEASE CALL IN ADVANCE TO SEE IF DOCK IS USABLE. 
Pine Knot Marina is 1.5 miles  (approx. 6 minute drive) from house. Pine Knot Marina offers The Miss Liberty Paddle Wheel Boat tour of the lake and Rentals: Pontoon Boats, Kayaks, Fishing Boats, Fishing rods, bait shop, Stand-up Paddle Boards and Jet skis.
Bear Mountain Resort is 5.0 miles (approx 14 minute drive) from the house & Snow Summit Ski Resort is 3.3 miles (approx 11 minute drive) from the house. 


",-1
3181,224,201,,,3,0,3,"Pine Knot Marina is 6.7 miles  (approx. 14 minute drive) from house. Pine Knot Marina offers The Miss Liberty Paddle Wheel Boat tour of the lake and Rentals: Pontoon Boats, Kayaks, Fishing Boats, Fishing rods, bait shop, Stand-up Paddle Boards and Jet skis.
Bear Mountain Resort is 6.9 miles (approx 15 minute drive) from the house & Snow Summit Ski Resort is 5.8 miles (approx 13 minute drive) from the house. 
",-1
6062,545,160,,,3,0,3,"There are three beaches: The Marina, Lake Lodge and Dunn Court. You can swim inside the designated areas only. On private lakefront property, swimming is confined to within thirty feet (30) of the shoreline or private dock.
Parking in the Marina beach parking lot is not permitted on Friday, Saturday or Sunday, and is reserved for homeowners. The beach can be accessed via water taxi, and please call Pine Mountain Lake with any questions:(209) 962-8615.
",-1
6064,545,204,,,3,0,3,"There are three beaches: The Marina, Lake Lodge and Dunn Court Beach. You can swim inside the designated areas only. On private lakefront property, swimming is confined to within thirty feet (30) of the shoreline or private dock.
Parking in the Marina beach parking lot is not permitted on Friday, Saturday or Sunday, and is reserved for homeowners. The beach can be accessed via water taxi, and please call Pine Mountain Lake with any questions:(209) 962-8615.
",-1
6169,164,160,,,1,0,2,"Pine Knot Marina is 3.0 miles  (approx. 7  minute drive) from house. Pine Knot Marina offers The Miss Liberty Paddle Wheel Boat tour of the lake and Rentals: Pontoon Boats, Kayaks, Fishing Boats, Fishing rods, bait shop, Stand-up Paddle Boards and Jet skis.
Bear Mountain Resort is 1.3 miles (approx 3 minute drive) from the house & Snow Summit Ski Resort is 1.8 miles (approx 6 minute drive) from the house. 
",1
6482,165,261,1,,2,1,2,Head west and the beach is at the end of the block,-1
6694,164,172,,0,2,0,3,"Pine Knot Marina is 3.3 miles (approx. 8  minute drive) from house. Pine Knot Marina offers The Miss Liberty Paddle Wheel Boat tour of the lake and Rentals: Pontoon Boats, Kayaks, Fishing Boats, Fishing rods, bait shop, Stand-up Paddle Boards and Jet skis.
Bear Mountain Resort is 0.7 miles (approx 3 minute drive) from the house & Snow Summit Ski Resort is 2.1 miles (approx 6 minute drive) from the house.",-1
6740,165,194,1,4,1,0,2,,-1
8518,206,179,1,,2,1,2,,2
8544,206,171,,,2,0,2,,2
9210,566,151,,,1,0,1,,2
9594,223,117,1,6,1,0,2,,-1
9801,464,127,1,,1,0,1,,-1
9949,165,735,,8,3,1,5,"The ocean is half a mile away, and the beach is just over a mile away (Ocean Beach is closest).",-1
11811,164,148,1,,2,0,2,,-1
12259,164,124,,5,1,0,2,,-1
12356,2983,113,,,1,0,1,,2
12360,2983,315,,,3,0,3,,-1
12375,2983,147,,,1,0,2,,-1
12548,164,121,1,,2,0,2,,-1
13310,41,189,,,1,0,1,,-1
13895,590,172,,,2,1,4,,-1
14542,590,420,,,5,1,5,,-1
14830,590,166,,,1,1,3,,-1
15744,2983,249,,8,2,0,4,,-1
16153,2983,264,,,3,0,3,,-1
16562,223,106,,,2,0,2,,-1
16764,165,105,,4,1,1,1,,-1
16823,590,189,,,2,1,3,,-1
17067,223,180,1,,2,0,2,,1
18042,2983,253,,,2,0,3,,-1
18734,545,253,1,,3,0,3,"Pine Mountain Lake Community has three beach areas. The Marina, located off of Cassaretto Court, Lake Lodge located at Pine Mountain Drive, near Cresthaven Drive,  and Dunn Court Beach, located at Dunn Court. Swimming is allowed inside the designated areas only. On private lakefront property, swimming is confined to within thirty feet (30) of the shoreline or private dock.  Please display your parking pass if visiting one of these areas. Parking in the Marina beach parking lot is not permitted on Friday, Saturday or Sunday, and is reserved for homeowners.  Dunn Court Beach, located off of Pine Mountain Drive, take Tannahill, then Pleasant View to Dunn Court, has close parking very near to shaded picnic and large swimming areas.  Beaches can also be accessed via water taxi, traveling from one beach to the next.  Please call Pine Mountain Lake with any questions: (209) 962-8615.  
",-1
18806,3221,149,,,2,0,3,,-1
18808,3219,193,,,2,1,3,,-1
19247,590,266,,,3,1,3,,1
19589,545,164,,,2,0,3,"There are three beaches: The Marina, located off of Cassaretto Court, Lake Lodge located at Pine Mountain Drive, near Cresthaven Drive,  and Dunn Court Beach, located at Dunn Court. Swimming is allowed inside the designated areas only. On private lakefront property, swimming is confined to within thirty feet (30) of the shoreline or private dock.  Please display your parking pass if visiting one of these areas. Parking in the Marina beach parking lot is not permitted on Friday, Saturday or Sunday, and is reserved for homeowners.  Beaches can also be accessed via water taxi, traveling from one beach to the next.  Please call Pine Mountain Lake with any questions: (209) 962-8615.  
",1
19908,223,160,,,2,0,3,,-1
20085,464,112,1,0,1,0,1,,-1
20232,566,147,,,1,1,1,,
20395,2983,233,,,2,0,5,,-1
20989,206,162,,,2,0,1,,2
21216,224,168,,,2,0,2,,
21342,545,155,1,,2,0,3,"Once you are in the Pine Mountain Lake community, your parking pass gives you access to beach sites and the community pool.  There are three beaches: The Marina, located off of Cassaretto Court, Lake Lodge located at Pine Mountain Drive, near Cresthaven Drive,  and Dunn Court Beach, located at Dunn Court. Swimming is allowed inside the designated areas only. On private lakefront property, swimming is confined to within thirty feet (30) of the shoreline or private dock.  Please display your parking pass if visiting one of these areas. Parking in the Marina beach parking lot is not permitted on Friday, Saturday or Sunday, and is reserved for homeowners.  There are no dogs allowed at beach locations.  Beaches can also be accessed via water taxi, traveling from one beach to the next.  Please call Pine Mountain Lake with any questions: (209) 962-8615.     Although vacation rental guests can’t bring boats of any kind to the lake, there are rental boats available at the Marina store.  Please call the Pine Mountain Lake Marina, at 209)962-8631 or visit http://www.pinemountainlake.com/1marina-test-page/ for more information.  PLEASE NOTE, COMMUNITY SWIM CENTER IS SEASONAL/CLOSED NOV-APRIL.  
",-1
21452,223,121,1,,1,0,2,,-1
22812,237,495,,,4,0,5,,1
24081,223,0,1,,2,0,2,,
24268,206,0,,,1,0,1,,2
24278,223,0,,,1,0,3,,-1
25002,206,0,1,,1,0,1,,2
25258,324,0,,,2,0,3,,1
25260,528,0,1,,2,0,2,,-1
25278,528,0,1,,1,0,1,,1
446,46,179,,,2,0,3,"Drive down 267 to the T intersection, and go right or left to parking lots for Kings Beach State Beach.",-1
939,41,373,,,2,0,2,"",2
959,43,233,,9,2,0,3,"Home includes access to the Dollar Point swimming pool, hot tub, tennis courts, a beautiful clubhouse with games, fire pits, and, best of all, a private homeowners' beach.

Here are the addresses for the beach and pool (make sure to bring your recreation pass!):
POOL: 170 Observation Drive
BEACH: 3000 Edgewater Drive",-1
1083,41,169,1,0,2,0,2,Commons Beach on Lake Tahoe is just past the light in Tahoe City on the right.,-1
1160,46,489,1,0,5,0,5,"1/2 block or less then a five minute walk to the spectacular Speedboat Beach",-1
1254,84,169,1,0,1,0,2,"",2
1379,46,202,,0,2,0,3,"5 minute walk to Lake Tahoe",1
1779,165,217,,,1,1,2,The vacation rental is 1 mile to beach access.,-1
1781,165,250,,,1,1,2,"1",-1
1782,165,252,,,1,1,2,The beach is just one mile away!,-1
1850,32,211,,,2,1,2,"0",2
2067,165,371,,6,3,1,4,About 2 mile drive to beach.  Only a couple blocks to Mission Bay and Crown Point Park.  Nice 10 minute bike ride around bay to Mission Beach.,-1
2925,43,165,,,2,0,3,,-1
3102,118,568,,0,3,1,4,Access to Pleasure Point Beaches is less than one block away,-1
3266,164,201,,,2,0,3,"Pine Knot Marina is 0.6 miles  (approx. 5 minute drive) from house. Pine Knot Marina offers The Miss Liberty Paddle Wheel Boat tour of the lake and Rentals: Pontoon Boats, Kayaks, Fishing Boats, Fishing rods, bait shop, Stand-up Paddle Boards and Jet skis.
Bear Mountain Resort is 4.0 miles (approx 12 minute drive) from the house & Snow Summit Ski Resort is 2.3 miles (approx 9  minute drive) from the house. 
",-1
4039,32,369,,,2,0,2,"",2
4350,84,153,,,1,0,2,Two Blocks from the Beach,-1
6050,545,235,,,2,0,4,"There are three beaches: The Marina, Lake Lodge and Dunn Court. You can swim inside the designated areas only. On private lakefront property, swimming is confined to within thirty feet (30) of the shoreline or private dock.
Parking in the Marina beach parking lot is not permitted on Friday, Saturday or Sunday, and is reserved for homeowners. The beach can be accessed via water taxi, and please call Pine Mountain Lake with any questions:(209) 962-8615.",-1
6059,545,156,,,3,0,3,,-1
6426,56,287,,,4,0,3,,-1
6452,590,209,,,2,1,4,,-1
6459,464,122,,0,2,0,3,,-1
7326,84,162,1,,1,0,1,,-1
7660,204,210,,6,2,0,3,,2
7878,165,176,,4,1,1,2,,-1
8186,32,196,,,2,1,3,,2
8502,206,296,,,3,0,2,,2
8523,206,171,1,,2,1,1,,2
8573,206,113,,,1,1,1,,2
8620,96,387,,6,2,0,4,"3 minute drive to the beach. You could walk, but there's a big uphill on the way home and that's not very do-able with little kids.",-1
8663,204,213,,6,2,1,3,,2
8912,32,270,,,3,0,4,Take your Tahoe Donner Guest passes and head to the private beach at Donner Lake (fee applies).  Or just head to Donner State Park!,2
9098,204,179,,,2,1,3,,2
9155,464,149,1,,2,0,2,,1
9159,286,634,1,12,5,1,5,,1
9572,368,138,,,1,1,1,,2
9947,206,218,,,2,1,2,,2
9987,370,221,1,,2,1,2,,-1
9988,370,170,,,2,1,2,,-1
10038,223,142,,,2,0,3,,-1
10227,130,252,1,6,2,1,3,"The beach is about 1,050 steps to the beach. Walk west through the MacKerricher State Park campground, past Cleone Lake and under the bike trail overpass.",1
10340,204,215,,,2,0,3,,-1
10567,590,138,,,1,1,3,,-1
11201,223,116,,,1,1,2,,1
11910,566,271,,8,3,0,3,This house is two blocks from the beach.,-1
12042,590,152,1,6,2,1,3,,-1
12177,590,167,,8,2,1,3,,-1
12224,590,156,1,,2,1,2,,-1
12311,2983,244,,,3,0,4,,-1
12339,2983,345,,,2,1,3,,-1
12365,2983,239,1,,2,0,5,,-1
12373,2983,298,1,,2,0,4,,-1
12386,2983,272,,,2,1,3,,-1
12534,206,182,,,3,0,2,,2
12623,2983,396,,,4,0,6,,-1
13220,368,108,,,1,1,1,,2
13805,41,339,1,,2,0,2,,-1
13842,32,157,,,2,0,2,,2
14069,590,303,,,3,1,4,,-1
14248,237,338,,6,3,0,3,"Pinnacle Gulch Coastal Access Trail:
The Pinnacle Gulch Coastal Access Trail is a half-mile unpaved path leading to a quarter-mile long beach with tide pools. The trailhead is located in the Bodega Harbour Community.",1
14333,2983,319,,,3,0,4,,-1
14381,590,171,,8,2,0,2,,-1
14430,286,193,,,3,1,3,,2
14454,505,161,1,,2,1,3,,-1
14812,590,208,,,2,1,4,,-1
15130,590,416,,,3,1,6,,-1
15250,590,186,,,2,1,3,,-1
15865,204,200,,,2,1,2,,-1
15941,1338,785,1,6,2,1,4,Beach front,1
16013,1059,169,,8,2,1,3,,-1
16014,1059,377,,8,4,1,4,,-1
16095,590,151,,,3,1,3,,-1
16222,464,193,,,2,1,3,,-1
16438,189,245,,,1,0,2,"6/25 KAYAKS NO LONGER AVAILABLE- Please Advise!",-1
16470,189,455,1,,3,0,5,,-1
16504,223,129,1,,1,0,2,,1
16667,590,262,,,3,0,4,,1
16670,204,209,,,2,1,3,,-1
16900,590,482,1,,5,1,5,,1
17166,2983,152,,,2,0,3,,-1
17310,590,162,,,3,0,3,,-1
17338,590,172,,,3,1,3,,-1
17667,165,252,,,1,1,0,,-1
17669,165,478,,10,3,0,5,,1
17678,590,378,,,5,1,5,,-1
17787,590,253,,,3,0,4,,-1
17817,2983,126,,,1,0,1,,2
17940,90,247,,,2,0,3,,-1
17982,464,136,,,2,0,4,,-1
18057,90,121,,,1,0,2,,
18104,590,163,,,3,0,3,,
18299,590,114,,2,1,1,1,,
18346,43,336,,,2,0,3,,
18437,566,191,,,2,1,2,,2
18484,590,278,,,3,1,4,,-1
18619,590,198,1,,3,1,4,,-1
18690,590,152,1,,2,0,3,,-1
18775,3219,258,,,2,0,4,,-1
18799,3219,196,,,3,0,3,,-1
18963,590,168,,,1,0,2,,-1
19153,464,156,1,,2,0,3,,
19323,206,186,,,3,1,2,,2
19370,590,167,1,,3,0,3,,-1
19446,424,826,,,5,1,4,,-1
19493,286,182,,,2,0,2,,2
19501,590,256,,,3,0,4,,1
19510,164,216,1,,3,0,3,,-1
19741,1138,372,,,1,0,2,,-1
19876,84,1097,,,4,0,6,,1
19918,56,171,1,,1,0,2,,-1
20444,590,194,,,1,0,2,,2
20447,471,171,,,2,1,2,,-1
20680,590,263,,,4,0,3,,
20786,189,1014,,,6,0,8,,-1
20788,471,604,,,6,0,7,,-1
20797,590,146,,,2,1,4,,-1
20933,2983,324,1,,3,0,4,,-1
21822,84,167,1,,2,0,3,,-1
22128,566,111,,,1,1,0,,-1
22155,471,259,,,3,0,3,,
22242,90,290,,,3,0,3,"N/A 
But you can head to the Truckee river to go for a swim, no particular spot is best and there is parking alongside the road.",-1
22949,164,464,1,,4,0,4,,-1
24060,286,158,1,,2,0,2,,2
24568,590,0,,,2,0,3,,-1
24855,41,391,,,2,0,2,,2
6052,545,156,,,2,0,3,"There are three beaches: The Marina, Lake Lodge and Dunn Court. You can swim inside the designated areas only. On private lakefront property, swimming is confined to within thirty feet (30) of the shoreline or private dock.
Parking in the Marina beach parking lot is not permitted on Friday, Saturday or Sunday, and is reserved for homeowners. The beach can be accessed via water taxi, and please call Pine Mountain Lake with any questions:(209) 962-8615.
",-1
9953,370,231,,,2,0,3,,-1
11935,164,106,,4,1,0,2,"Pine Knot Marina ,Pine Knot Marina offers The Miss Liberty Paddle Wheel Boat tour of the lake and Rentals: Pontoon Boats, Kayaks, Fishing Boats, Fishing rods, bait shop, Stand-up Paddle Boards and Jet skis.
Bear Mountain Resort  AND  Snow Summit Ski Resort .",-1
17911,164,143,,,1,0,3,,-1
22119,351,398,,,3,0,5,,1
318,46,196,,,2,0,4,"Drive down 267 south about 1 mile to the T intersection at Kings Beach, go left, and turn right into the State Beach.",-1
319,48,207,0,,2,1,3,Drive back to Kings Beach State Beach.,-1
326,45,162,1,,2,0,2,"1",-1
368,43,137,,,1,0,2,"To get to the beach, you have two close (less than a mile) walkable choices. Out of the main entrance to the complex, take a right. 1. Left on Aspen, first left on Lake Terrace, dead ends to gorgeous park/lake access called Skylandia. 2. Left on Bristlecone. Ends at the lake. Dog-friendly on the right-hand side",2
447,32,319,1,,3,0,3,"For beach access, drive on 267 South to Kings Beach. Go right or left at the light to access beach parking lots. This rental is four miles (15 minutes) from Northstar skiing.",2
506,45,154,,,2,0,2,Walk or drive a half mile to Patton Beach on Carnelian Bay.,2
634,96,282,1,0,2,1,3,Half-mile walk to Seacliff  State Beach,-1
638,45,180,1,0,2,0,3,"",2
648,45,161,,0,2,0,3,"This Carnelian Bay vacation rental includes access to community amenities like a hot tub and seasonal pool, and you'll be within walking distance to the most inviting beach - Kings Beach is just three miles up the road and Tahoe City about six miles in the opposite direction",2
775,84,433,,,3,0,5,There are several beaches within 2 miles of the home.,1
846,90,116,1,0,1,0,2,"",-1
873,84,144,1,,2,0,3,"",-1
886,46,157,,0,2,0,2,"",-1
990,46,140,,0,2,0,1,"",-1
992,84,190,1,,2,0,3,"",1
1092,43,224,,,2,0,3,"Here are the addresses for the beach and pool (make sure to bring your recreation pass!):
POOL: 170 Observation Drive
BEACH: 3000 Edgewater Drive",-1
1163,84,213,,0,2,0,3,"",-1
1266,44,240,,,2,0,4,Guests have exclusive access to Chambers Landing Beach,-1
1327,130,324,1,,3,0,4,"Access to the pristine dunes and beach of Mackerricher State Park is just a short walk from the end of the private road, a brisk 15 to 20 minute walk, a bit slower through the sand dunes to get to the ocean.

a good 1/2 to 3/4 mile hike over sand dunes to Ten Mile State Beach",1
1330,128,344,1,,2,0,2,"0",1
1437,118,460,1,0,2,1,4,"Walk down Seabright to the beach, turn right to access.",-1
1627,157,152,,0,1,0,1,"1",-1
1666,146,158,,0,1,0,0,"",-1
1713,172,1007,1,,4,0,6,"5 miles to nearest beach access",1
1775,164,198,1,0,2,0,3,"Pine Knot Marina is 4.1 miles  (approx. 11 minute drive) from house. Pine Knot Marina offers The Miss Liberty Paddle Wheel Boat tour of the lake and Rentals: Pontoon Boats, Kayaks, Fishing Boats, Fishing rods, bait shop, Stand-up Paddle Boards and Jet skis.
Bear Mountain Resort is 1.1 mile (approx 4 minute drive) from the house & Snow Summit Ski Resort is 3.0 miles (approx 10 minute drive) from the house.",1
1783,165,213,,,1,1,2,The beach is just 85 steps away!,-1
1867,118,114,,0,1,0,0,Just five blocks to the beach,2
1868,165,263,,,2,0,2,Mission Bay is just one block away!,-1
2066,165,353,,0,2,0,2,"Located on the boardwalk, just 10 steps away from the beach.",-1
2068,45,186,,,2,0,4,,2
2071,165,323,1,,2,0,3,,-1
2074,165,310,,4,1,1,2,,-1
2084,165,199,,4,1,0,2,"45 steps to the beach",-1
2085,165,183,,,1,0,2,,-1
2086,165,185,,,1,0,2,"walking distance

",-1
2094,165,113,,0,1,0,0,"1 block away",-1
2095,165,231,,,1,0,2,"1/2 block",-1
2146,118,562,,0,3,0,4, A quick walk across a quiet street.,-1
2273,189,278,,,2,0,3,"This house is located a few blocks away from the beach, heading West, behind unit, proceed down 49th street.

Boogie boards, beach chairs, and sand toys are available for use during stay, items are located in garage. Please wipe / clean sand off after use and return to garage prior to departure. Beach towels in top left hall cabinet. Please wash and return after use.",-1
2778,206,119,,0,1,0,1,"The condo key will allow access to the pool, Jacuzzi and Rec Room.",2
2864,43,205,1,0,2,0,4,"There is a small public beach to the left of Sunnyside.  Also, about a mile further down the West Shore is Hurricane Bay, a popular public and dog-friendly beach.",-1
2962,84,326,,0,2,0,5,,-1
3010,84,174,,4,2,0,3,Drive 1/2 mile to Ski Run Marina and Beach.,-1
3011,84,192,,0,2,0,3,You are about 1.1 to 1.5 miles from public beach access.,-1
3315,131,184,,0,1,0,2,,-1
3322,204,173,,0,2,0,2,,2
3381,165,259,,0,2,0,2,The Pacific Beach Pier is right outside your door as is the sandy beach,2
3620,128,132,,0,2,0,1,,-1
3621,128,138,,4,1,0,2,,-1
3622,128,130,,3,1,0,1,,-1
3827,435,324,1,,2,0,4,"",-1
4181,157,524,,,2,0,4,"180 degree ocean views on the bluff in La Jolla. Quick & easy beach access. Incredible La Jolla  views from False Point viewing area up the street (on right hand side as you are walking back up towards town). Less than 1 mile from Tourmaline Beach with incredible beaches & surfing.",-1
